OrderID,Timestamp,CustomerName,Locality,City,DosaType,ChutneyType,DroneModel,Distance_KM,FlightTime_Mins,TavaTemp_C,ThermalIntegrity_Pct,Price_INR,Status,Rating
AD-1001,2026-06-01 08:12:45,Arjun Mehta,Indiranagar,Bengaluru,Masala Dosa,Classic Trio,AeroDosa Quad-9,3.2,4.8,185,99.1,149,Delivered,5
AD-1002,2026-06-01 08:15:30,Sneha Rao,Koramangala,Bengaluru,Ghee Roast,Gunpowder Ghee,AeroDosa Quad-9,1.8,3.2,190,99.6,170,Delivered,5
AD-1003,2026-06-01 08:22:10,Rohan Sharma,HSR Layout,Bengaluru,Cheese Chilli,Double Sambar,AeroDosa Quad-9,4.5,6.1,180,98.2,175,Delivered,4
AD-1004,2026-06-01 08:30:15,Priyanka Nair,Jayanagar,Bengaluru,Masala Dosa,Classic Trio,AeroDosa Quad-9,2.4,3.9,187,98.9,149,Delivered,5
AD-1005,2026-06-01 08:42:00,Vikram Singh,Whitefield,Bengaluru,Ghee Roast,Gunpowder Ghee,Falcon-X Heavy,5.1,7.2,192,97.5,170,Delivered,4
AD-1006,2026-06-01 08:55:12,Ananya Patel,Indiranagar,Bengaluru,Cheese Chilli,Classic Trio,AeroDosa Quad-9,1.2,2.1,182,99.8,160,Delivered,5
AD-1007,2026-06-01 09:05:40,Siddharth Sen,Koramangala,Bengaluru,Masala Dosa,Double Sambar,AeroDosa Quad-9,2.9,4.5,188,98.6,164,Delivered,5
AD-1008,2026-06-01 09:18:22,Kavitha Iyer,HSR Layout,Bengaluru,Ghee Roast,Gunpowder Ghee,Falcon-X Heavy,3.8,5.4,195,99.2,170,Delivered,5
AD-1009,2026-06-01 09:30:05,Rahul Verma,Jayanagar,Bengaluru,Cheese Chilli,Double Sambar,AeroDosa Quad-9,2.1,3.4,183,99.1,175,Delivered,4
AD-1010,2026-06-01 09:45:18,Divya Reddy,Malleswaram,Bengaluru,Masala Dosa,Classic Trio,AeroDosa Quad-9,4.2,6.4,186,97.9,149,Delivered,3
AD-1011,2026-06-02 08:05:10,Aditya Hegde,Indiranagar,Bengaluru,Ghee Roast,Gunpowder Ghee,AeroDosa Quad-9,1.5,2.6,191,99.7,170,Delivered,5
AD-1012,2026-06-02 08:14:22,Meera Krishnan,Koramangala,Bengaluru,Masala Dosa,Classic Trio,AeroDosa Quad-9,2.7,4.2,184,98.8,149,Delivered,5
AD-1013,2026-06-02 08:25:35,Rajesh Pillai,HSR Layout,Bengaluru,Cheese Chilli,Double Sambar,Falcon-X Heavy,3.6,5.1,181,99.0,175,Delivered,4
AD-1014,2026-06-02 08:38:50,Shreya Ghoshal,Jayanagar,Bengaluru,Ghee Roast,Classic Trio,AeroDosa Quad-9,2.3,3.8,189,99.3,140,Delivered,5
AD-1015,2026-06-02 08:50:00,Vijay Mallya,Whitefield,Bengaluru,Masala Dosa,Gunpowder Ghee,Falcon-X Heavy,5.8,8.2,185,96.8,179,Delivered,4
AD-1016,2026-06-02 09:02:15,Neha Gupta,Indiranagar,Bengaluru,Cheese Chilli,Classic Trio,AeroDosa Quad-9,1.9,3.1,180,99.4,160,Delivered,5
AD-1017,2026-06-02 09:15:30,Sandeep Kumar,Koramangala,Bengaluru,Masala Dosa,Double Sambar,AeroDosa Quad-9,2.5,4.0,186,98.9,164,Delivered,5
AD-1018,2026-06-02 09:28:45,Aisha Rahman,HSR Layout,Bengaluru,Ghee Roast,Gunpowder Ghee,Falcon-X Heavy,3.9,5.6,193,98.5,170,Delivered,5
AD-1019,2026-06-02 09:40:00,Rithvik Roy,Jayanagar,Bengaluru,Cheese Chilli,Classic Trio,AeroDosa Quad-9,2.0,3.3,182,99.2,160,Delivered,4
AD-1020,2026-06-02 09:55:12,Pooja Hegde,Malleswaram,Bengaluru,Masala Dosa,Classic Trio,AeroDosa Quad-9,4.0,6.0,187,98.1,149,Delivered,4
AD-1021,2026-06-03 08:08:15,Karthik Aryan,Indiranagar,Bengaluru,Ghee Roast,Gunpowder Ghee,AeroDosa Quad-9,1.6,2.8,190,99.5,170,Delivered,5
AD-1022,2026-06-03 08:18:30,Alia Bhatt,Koramangala,Bengaluru,Masala Dosa,Classic Trio,AeroDosa Quad-9,2.8,4.4,185,98.7,149,Delivered,5
AD-1023,2026-06-03 08:29:45,Ranbir Kapoor,HSR Layout,Bengaluru,Cheese Chilli,Double Sambar,Falcon-X Heavy,3.7,5.3,180,98.9,175,Delivered,5
AD-1024,2026-06-03 08:41:00,Deepika Padukone,Jayanagar,Bengaluru,Ghee Roast,Classic Trio,AeroDosa Quad-9,2.2,3.6,188,99.4,140,Delivered,5
AD-1025,2026-06-03 08:52:15,Ranveer Singh,Whitefield,Bengaluru,Masala Dosa,Gunpowder Ghee,Falcon-X Heavy,5.5,7.8,194,97.2,179,Delivered,4
AD-1026,2026-06-03 09:05:30,Kiara Advani,Indiranagar,Bengaluru,Cheese Chilli,Classic Trio,AeroDosa Quad-9,1.8,2.9,181,99.6,160,Delivered,5
AD-1027,2026-06-03 09:18:45,Sidharth Malhotra,Koramangala,Bengaluru,Masala Dosa,Double Sambar,AeroDosa Quad-9,2.6,4.1,186,98.8,164,Delivered,5
AD-1028,2026-06-03 09:30:00,Rashmika Mandanna,HSR Layout,Bengaluru,Ghee Roast,Gunpowder Ghee,Falcon-X Heavy,4.0,5.8,192,98.4,170,Delivered,5
AD-1029,2026-06-03 09:42:15,Vijay Deverakonda,Jayanagar,Bengaluru,Cheese Chilli,Classic Trio,AeroDosa Quad-9,2.1,3.5,183,99.0,160,Delivered,4
AD-1030,2026-06-03 09:56:30,Samantha Ruth,Malleswaram,Bengaluru,Masala Dosa,Classic Trio,AeroDosa Quad-9,4.1,6.2,187,97.8,149,Delivered,3
AD-1031,2026-06-04 08:02:10,Mohan Lal,Indiranagar,Bengaluru,Ghee Roast,Gunpowder Ghee,AeroDosa Quad-9,1.4,2.4,192,99.8,170,Delivered,5
AD-1032,2026-06-04 08:11:22,Mammootty Kerala,Koramangala,Bengaluru,Masala Dosa,Classic Trio,AeroDosa Quad-9,2.9,4.5,184,98.5,149,Delivered,5
AD-1033,2026-06-04 08:24:35,Allu Arjun,HSR Layout,Bengaluru,Cheese Chilli,Double Sambar,Falcon-X Heavy,3.5,5.0,181,99.1,175,Delivered,5
AD-1034,2026-06-04 08:35:50,Ram Charan,Jayanagar,Bengaluru,Ghee Roast,Classic Trio,AeroDosa Quad-9,2.4,3.9,189,99.2,140,Delivered,5
AD-1035,2026-06-04 08:48:00,NTR Junior,Whitefield,Bengaluru,Masala Dosa,Gunpowder Ghee,Falcon-X Heavy,5.9,8.4,193,96.6,179,Delivered,4
AD-1036,2026-06-04 09:00:15,Yash KGF,Indiranagar,Bengaluru,Cheese Chilli,Classic Trio,AeroDosa Quad-9,1.7,2.8,180,99.5,160,Delivered,5
AD-1037,2026-06-04 09:12:30,Prabhas Raju,Koramangala,Bengaluru,Masala Dosa,Double Sambar,AeroDosa Quad-9,2.4,3.9,186,99.0,164,Delivered,5
AD-1038,2026-06-04 09:25:45,Mahesh Babu,HSR Layout,Bengaluru,Ghee Roast,Gunpowder Ghee,Falcon-X Heavy,4.1,5.9,191,98.3,170,Delivered,5
AD-1039,2026-06-04 09:38:00,Pawan Kalyan,Jayanagar,Bengaluru,Cheese Chilli,Classic Trio,AeroDosa Quad-9,2.2,3.7,183,98.9,160,Delivered,4
AD-1040,2026-06-04 09:50:12,Dulquer Salmaan,Malleswaram,Bengaluru,Masala Dosa,Classic Trio,AeroDosa Quad-9,4.2,6.3,186,97.7,149,Delivered,4
AD-1041,2026-06-05 08:06:15,Nikhil Siddhartha,Indiranagar,Bengaluru,Ghee Roast,Gunpowder Ghee,AeroDosa Quad-9,1.5,2.7,191,99.6,170,Delivered,5
AD-1042,2026-06-05 08:16:30,Anupama P,Koramangala,Bengaluru,Masala Dosa,Classic Trio,AeroDosa Quad-9,2.7,4.3,185,98.8,149,Delivered,5
AD-1043,2026-06-05 08:27:45,Nani Ghanta,HSR Layout,Bengaluru,Cheese Chilli,Double Sambar,Falcon-X Heavy,3.8,5.5,180,98.8,175,Delivered,5
AD-1044,2026-06-05 08:39:00,Keerthy Suresh,Jayanagar,Bengaluru,Ghee Roast,Classic Trio,AeroDosa Quad-9,2.1,3.5,188,99.5,140,Delivered,5
AD-1045,2026-06-05 08:50:15,Sai Pallavi,Whitefield,Bengaluru,Masala Dosa,Gunpowder Ghee,Falcon-X Heavy,5.4,7.6,194,97.4,179,Delivered,5
AD-1046,2026-06-05 09:03:30,Rashmi Gautam,Indiranagar,Bengaluru,Cheese Chilli,Classic Trio,AeroDosa Quad-9,1.9,3.0,181,99.5,160,Delivered,4
AD-1047,2026-06-05 09:16:45,Anasuya Bharadwaj,Koramangala,Bengaluru,Masala Dosa,Double Sambar,AeroDosa Quad-9,2.5,4.0,186,98.9,164,Delivered,5
AD-1048,2026-06-05 09:28:00,Pradeep Machiraju,HSR Layout,Bengaluru,Ghee Roast,Gunpowder Ghee,Falcon-X Heavy,4.2,6.1,192,98.1,170,Delivered,4
AD-1049,2026-06-05 09:40:15,Sumakka Anchoring,Jayanagar,Bengaluru,Cheese Chilli,Classic Trio,AeroDosa Quad-9,2.3,3.8,183,98.8,160,Delivered,5
AD-1050,2026-06-05 09:54:30,Sreemukhi Anchor,Malleswaram,Bengaluru,Masala Dosa,Classic Trio,AeroDosa Quad-9,4.0,6.1,187,97.9,149,Delivered,4
